ts,device_id,skill_id,commanded_angle,target_angle,error,prev_error,action_idx,action_value,reward,q_value,td_error,epsilon,memory_size,retrieval_k,neighbor_agreement,tick_duration_ms,skill_elapsed_ms
12070,esp32-arm,default,104.0,90.0,-14.0,-14.0,4,0,-14.0,0.0,-14.0,0.2,139,5,1.0,102,9826
12182,esp32-arm,default,104.0,90.0,-14.0,-14.0,4,0,-14.0,0.0,-14.0,0.2,140,5,1.0,104,9938
12297,esp32-arm,default,104.0,90.0,-14.0,-14.0,4,0,-14.0,0.0,-14.0,0.2,141,5,1.0,99,10053
12418,esp32-arm,reach-target-fast,104.0,90.0,-14.0,-14.0,7,5,-19.0,0.0,-19.0,0.2,142,5,0.0,104,105
12542,esp32-arm,reach-target-fast,109.0,90.0,-19.0,-19.0,3,-1,-18.0,0.0,-18.0,0.2,143,5,0.0,110,229
12662,esp32-arm,reach-target-fast,108.0,90.0,-18.0,-18.0,7,5,-23.0,0.0,-23.0,0.2,144,5,0.8,113,350
12786,esp32-arm,reach-target-fast,113.0,90.0,-23.0,-23.0,1,-5,-18.0,0.0,-18.0,0.2,145,5,0.0,109,473
12913,esp32-arm,reach-target-fast,108.0,90.0,-18.0,-18.0,7,5,-23.0,0.0,-23.0,0.2,146,5,1.0,120,600
13037,esp32-arm,reach-target-fast,113.0,90.0,-23.0,-23.0,2,-2,-21.0,0.0,-21.0,0.2,147,5,0.4,111,724
13165,esp32-arm,reach-target-fast,111.0,90.0,-21.0,-21.0,1,-5,-16.0,0.0,-16.0,0.2,148,5,0.0,121,852
13291,esp32-arm,reach-target-fast,106.0,90.0,-16.0,-16.0,7,5,-21.0,0.0,-21.0,0.2,149,5,0.0,112,978
13421,esp32-arm,reach-target-fast,111.0,90.0,-21.0,-21.0,7,5,-26.0,0.0,-26.0,0.2,150,5,0.0,123,1108
13538,esp32-arm,reach-target-fast,116.0,90.0,-26.0,-26.0,8,10,-36.0,0.0,-36.0,0.2,151,5,0.0,103,1225
13648,esp32-arm,reach-target-fast,126.0,90.0,-36.0,-36.0,2,-2,-34.0,0.0,-34.0,0.2,152,5,0.8,103,1335
13755,esp32-arm,reach-target-fast,124.0,90.0,-34.0,-34.0,2,-2,-32.0,0.0,-32.0,0.2,153,5,1.0,100,1442
13878,esp32-arm,reach-target-fast,122.0,90.0,-32.0,-32.0,2,-2,-30.0,0.0,-30.0,0.2,154,5,0.0,116,1565
14000,esp32-arm,reach-target-fast,120.0,90.0,-30.0,-30.0,4,0,-30.0,0.0,-30.0,0.2,155,5,0.6,108,1687
14125,esp32-arm,reach-target-fast,120.0,90.0,-30.0,-30.0,4,0,-30.0,0.0,-30.0,0.2,156,5,0.4,118,1812
14249,esp32-arm,reach-target-fast,120.0,90.0,-30.0,-30.0,4,0,-30.0,0.0,-30.0,0.2,157,5,0.6,110,1937
14375,esp32-arm,reach-target-fast,120.0,90.0,-30.0,-30.0,4,0,-30.0,0.0,-30.0,0.2,158,5,0.6,118,2062
14502,esp32-arm,reach-target-fast,120.0,90.0,-30.0,-30.0,4,0,-30.0,0.0,-30.0,0.2,159,5,0.6,120,2189
14622,esp32-arm,reach-target-fast,120.0,90.0,-30.0,-30.0,4,0,-30.0,0.0,-30.0,0.2,160,5,0.6,113,2309
14749,esp32-arm,reach-target-fast,120.0,90.0,-30.0,-30.0,4,0,-30.0,0.0,-30.0,0.2,161,5,0.8,120,2436
14878,esp32-arm,reach-target-fast,120.0,90.0,-30.0,-30.0,2,-2,-28.0,0.0,-28.0,0.2,162,5,0.4,122,2565
15011,esp32-arm,reach-target-fast,118.0,90.0,-28.0,-28.0,0,-10,-18.0,0.0,-18.0,0.2,163,5,0.0,126,2699
15147,esp32-arm,reach-target-fast,108.0,90.0,-18.0,-18.0,7,5,-23.0,0.0,-23.0,0.2,164,5,1.0,122,2834
15286,esp32-arm,reach-target-fast,113.0,90.0,-23.0,-23.0,2,-2,-21.0,0.0,-21.0,0.2,165,5,0.6,132,2973
15427,esp32-arm,reach-target-fast,111.0,90.0,-21.0,-21.0,1,-5,-16.0,0.0,-16.0,0.2,166,5,0.2,134,3114
15564,esp32-arm,reach-target-fast,106.0,90.0,-16.0,-16.0,4,0,-16.0,0.0,-16.0,0.2,167,5,0.6,130,3251
15700,esp32-arm,reach-target-fast,106.0,90.0,-16.0,-16.0,4,0,-16.0,0.0,-16.0,0.2,168,5,0.8,122,3388
15840,esp32-arm,reach-target-fast,106.0,90.0,-16.0,-16.0,4,0,-16.0,0.0,-16.0,0.2,169,5,0.8,133,3528
15980,esp32-arm,reach-target-fast,106.0,90.0,-16.0,-16.0,4,0,-16.0,0.0,-16.0,0.2,170,5,0.8,132,3667
16119,esp32-arm,reach-target-fast,106.0,90.0,-16.0,-16.0,4,0,-16.0,0.0,-16.0,0.2,171,5,1.0,124,3807
16257,esp32-arm,reach-target-fast,106.0,90.0,-16.0,-16.0,2,-2,-14.0,0.0,-14.0,0.2,172,5,0.0,131,3944
16385,esp32-arm,reach-target-fast,104.0,90.0,-14.0,-14.0,0,-10,-4.0,0.0,-4.0,0.2,173,5,0.0,121,4072
16508,esp32-arm,reach-target-fast,94.0,90.0,-4.0,-4.0,4,0,-4.0,0.0,-4.0,0.2,174,5,0.0,116,4195
16633,esp32-arm,reach-target-fast,94.0,90.0,-4.0,-4.0,4,0,-4.0,0.0,-4.0,0.2,175,5,0.2,111,4320
16759,esp32-arm,reach-target-fast,94.0,90.0,-4.0,-4.0,4,0,-4.0,0.0,-4.0,0.2,176,5,0.4,119,4446
